Age,Department,Study_Hours_Per_Week,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
19,Engineering,6.5,81.57,61.54,46.9,55.21,51.05,64.7,75.57,59.59,F
18,Mathematics,8.1,71.88,61.12,80.9,81.66,61.98,73.6,77.02,77.15,A
22,CS,3.1,60.97,61.28,47.48,88.27,54.61,68.6,89.5,65.29,D
18,Business,6.0,81.41,67.85,89.66,74.28,59.01,75.2,93.25,80.31,A
18,Engineering,4.1,81.68,69.82,70.04,71.13,76.53,74.3,63.57,72.96,B
18,Mathematics,2.5,53.91,83.07,77.0,79.0,84.14,85.3,98.23,83.79,A
21,Business,4.3,85.71,59.99,57.18,82.88,81.54,41.3,95.09,69.6,C
22,Engineering,3.6,94.74,50.16,54.29,100.0,62.17,97.0,81.42,70.29,C
20,Mathematics,4.9,63.67,65.47,87.4,63.62,72.41,70.4,78.71,77.08,A
19,Business,9.1,81.99,77.87,46.42,59.77,66.45,65.7,85.81,68.13,D
20,Business,3.5,99.18,38.73,80.83,91.45,66.29,68.6,66.23,70.89,C
18,CS,1.7,92.28,65.42,62.28,70.25,44.77,76.6,84.64,65.99,D
24,CS,4.3,83.07,73.27,38.26,65.3,61.5,100.0,75.8,64.88,D
22,CS,5.5,73.24,69.93,80.37,49.84,79.63,45.7,60.76,70.91,C
23,CS,4.2,93.23,78.07,57.64,77.09,94.49,80.4,85.12,77.29,A
23,CS,3.0,72.28,57.24,79.78,71.01,55.17,68.6,51.83,67.85,D
19,Engineering,4.3,72.5,58.47,66.91,58.63,70.4,71.3,71.77,67.58,D
23,Business,2.9,78.44,81.34,82.14,53.39,72.3,62.0,71.1,74.52,B
24,Mathematics,7.1,71.21,65.72,74.04,75.93,47.19,82.7,100.0,75.64,B
20,CS,5.4,68.2,88.05,66.98,82.94,74.02,78.9,67.3,78.57,A
18,Engineering,4.6,84.74,63.06,59.69,73.26,85.21,91.5,75.04,73.24,B
24,Business,3.5,69.2,74.35,58.84,69.4,69.41,47.1,98.82,69.69,C
22,CS,4.8,76.44,36.1,35.85,93.61,66.16,58.8,68.07,57.03,F
24,Engineering,5.7,100.0,67.4,94.85,76.4,59.29,52.7,85.35,78.94,A
